type,event,t_us,dd1,dd2,dd2_minus_dd1,diff,d_code,oref,cp1,cp2,cp2_minus_cp1,dt_us,freq_khz
dlf,0,0.020,0,0,0,0,65536,0.5000309,,,,,
dlf,1,2.472,2067,2050,-17,17,61443,0.5278195,,,,,
dlf,2,7.224,1908,2218,310,-310,61745,0.5257866,,,,,
dlf,3,11.942,1903,2198,295,-295,62325,0.5196451,,,,,
dlf,4,16.629,1910,2168,258,-258,62855,0.5139600,,,,,
dlf,5,21.286,1928,2147,219,-219,63329,0.5109464,,,,,
dlf,6,25.919,1943,2133,190,-190,63739,0.5083866,,,,,
dlf,7,30.532,1958,2122,164,-164,64097,0.5063117,,,,,
dlf,8,35.129,1970,2112,142,-142,64405,0.5045973,,,,,
dlf,9,39.709,1982,2105,123,-123,64675,0.5031927,,,,,
dlf,10,44.276,1993,2098,105,-105,64907,0.5021688,,,,,
dlf,11,48.832,2002,2094,92,-92,65109,0.5014042,,,,,
dlf,12,53.380,2011,2090,79,-79,65285,0.5008093,,,,,
dlf,13,57.917,2020,2088,68,-68,65439,0.5003309,,,,,
dlf,14,62.451,2018,2081,63,-63,65561,0.4979979,,,,,
dlf,15,66.976,2018,2071,53,-53,65667,0.4958745,,,,,
dlf,16,71.492,2025,2066,41,-41,65763,0.4959377,,,,,
dlf,17,76.005,2031,2066,35,-35,65845,0.4960486,,,,,
dlf,18,80.514,2036,2066,30,-30,65915,0.4961587,,,,,
dlf,19,85.023,2031,2062,31,-31,65967,0.4942458,,,,,
dlf,20,89.528,2026,2054,28,-28,66013,0.4924441,,,,,
dlf,21,94.028,2030,2050,20,-20,66061,0.4927605,,,,,
dlf,22,98.527,2035,2051,16,-16,66103,0.4931520,,,,,
dlf,23,100.020,2035,2051,16,-16,66103,0.4931568,,,,,
dlf,24,103.023,2039,2053,14,-14,66139,0.4935621,,,,,
dlf,25,107.517,2043,2055,12,-12,66171,0.4939767,,,,,
dlf,26,112.011,2047,2057,10,-10,66199,0.4943378,,,,,
dlf,27,116.506,2041,2054,13,-13,66213,0.4926675,,,,,
dlf,28,121.000,2034,2047,13,-13,66225,0.4910902,,,,,
dlf,29,125.490,2038,2044,6,-6,66245,0.4915948,,,,,
dlf,30,129.981,2041,2046,5,-5,66261,0.4921007,,,,,
dlf,31,134.470,2044,2048,4,-4,66275,0.4926145,,,,,
dlf,32,138.958,2047,2051,4,-4,66289,0.4930439,,,,,
dlf,33,143.448,2040,2048,8,-8,66291,0.4914408,,,,,
dlf,34,147.939,2034,2041,7,-7,66293,0.4899282,,,,,
dlf,35,152.425,2037,2038,1,-1,66301,0.4905015,,,,,
dlf,36,156.913,2040,2041,1,-1,66309,0.4910679,,,,,
dlf,37,161.399,2043,2044,1,-1,66317,0.4916218,,,,,
dlf,38,165.886,2045,2046,1,-1,66323,0.4921774,,,,,
dlf,39,170.371,2048,2049,1,-1,66331,0.4927093,,,,,
dlf,40,174.858,2051,2051,0,0,66337,0.4931884,,,,,
dlf,41,179.346,2044,2049,5,-5,66333,0.4916060,,,,,
dlf,42,183.835,2037,2042,5,-5,66329,0.4901246,,,,,
dlf,43,188.320,2040,2039,-1,1,66333,0.4907166,,,,,
dlf,44,192.804,2043,2042,-1,1,66337,0.4913033,,,,,
dlf,45,197.290,2045,2045,0,0,66341,0.4918698,,,,,
hold,0,0.133,,,,,,0.5000553,2050,2048,-2,,
hold,1,2.447,,,,,,0.4995582,2048,2067,19,2.314,432.152
hold,2,4.812,,,,,,0.4715228,2218,2048,-170,2.365,422.833
hold,3,7.198,,,,,,0.5279298,2048,1908,-140,2.386,419.111
hold,4,9.547,,,,,,0.4724833,2198,2048,-150,2.349,425.713
hold,5,11.917,,,,,,0.5236505,2048,1903,-145,2.370,421.941
hold,6,14.244,,,,,,0.4743456,2168,2048,-120,2.327,429.738
hold,7,16.604,,,,,,0.5175699,2048,1910,-138,2.360,423.729
hold,8,18.916,,,,,,0.4771171,2147,2048,-99,2.312,432.526
hold,9,21.260,,,,,,0.5142079,2048,1928,-120,2.344,426.621
hold,10,23.562,,,,,,0.4806258,2133,2048,-85,2.302,434.405
hold,11,25.894,,,,,,0.5112278,2048,1943,-105,2.332,428.816
hold,12,28.186,,,,,,0.4837477,2122,2048,-74,2.292,436.300
hold,13,30.507,,,,,,0.5087707,2048,1958,-90,2.321,430.849
hold,14,32.792,,,,,,0.4865904,2112,2048,-64,2.285,437.637
hold,15,35.103,,,,,,0.5067216,2048,1970,-78,2.311,432.713
hold,16,37.381,,,,,,0.4891237,2105,2048,-57,2.278,438.982
hold,17,39.683,,,,,,0.5050612,2048,1982,-66,2.302,434.405
hold,18,41.956,,,,,,0.4914553,2098,2048,-50,2.273,439.947
hold,19,44.251,,,,,,0.5037673,2048,1993,-55,2.295,435.730
hold,20,46.520,,,,,,0.4936286,2094,2048,-46,2.269,440.723
hold,21,48.807,,,,,,0.5027966,2048,2002,-46,2.287,437.254
hold,22,51.073,,,,,,0.4956484,2090,2048,-42,2.266,441.306
hold,23,53.354,,,,,,0.5020175,2048,2011,-37,2.281,438.404
hold,24,55.617,,,,,,0.4974697,2088,2048,-40,2.263,441.891
hold,25,57.892,,,,,,0.5014576,2048,2020,-28,2.275,439.560
hold,26,60.149,,,,,,0.4980406,2081,2048,-33,2.257,443.066
hold,27,62.426,,,,,,0.4988541,2048,2018,-30,2.277,439.174
hold,28,64.675,,,,,,0.4981356,2071,2048,-23,2.249,444.642
hold,29,66.951,,,,,,0.4965506,2048,2018,-30,2.276,439.367
hold,30,69.197,,,,,,0.4985335,2066,2048,-18,2.246,445.236
hold,31,71.467,,,,,,0.4965985,2048,2025,-23,2.270,440.529
hold,32,73.714,,,,,,0.4998734,2066,2048,-18,2.247,445.038
hold,33,75.980,,,,,,0.4966167,2048,2031,-17,2.266,441.306
hold,34,78.226,,,,,,0.5010953,2066,2048,-18,2.246,445.236
hold,35,80.488,,,,,,0.4967028,2048,2036,-12,2.262,442.087
hold,36,82.731,,,,,,0.5010718,2062,2048,-14,2.243,445.831
hold,37,84.997,,,,,,0.4946137,2048,2031,-17,2.266,441.306
hold,38,87.234,,,,,,0.4998836,2054,2048,-6,2.237,447.027
hold,39,89.503,,,,,,0.4927149,2048,2026,-22,2.269,440.723
hold,40,91.739,,,,,,0.4997966,2050,2048,-2,2.236,447.227
hold,41,94.003,,,,,,0.4930877,2048,2030,-18,2.264,441.696
hold,42,96.240,,,,,,0.5008060,2051,2048,-3,2.237,447.027
hold,43,98.501,,,,,,0.4934431,2048,2035,-13,2.261,442.282
hold,44,100.739,,,,,,0.5017559,2053,2048,-5,2.238,446.828
hold,45,102.998,,,,,,0.4938106,2048,2039,-9,2.259,442.674
hold,46,105.236,,,,,,0.5026392,2055,2048,-7,2.238,446.828
hold,47,107.492,,,,,,0.4941969,2048,2043,-5,2.256,443.262
hold,48,109.732,,,,,,0.5034737,2057,2048,-9,2.240,446.429
hold,49,111.985,,,,,,0.4945906,2048,2047,-1,2.253,443.853
hold,50,114.222,,,,,,0.5031373,2054,2048,-6,2.237,447.027
hold,51,116.481,,,,,,0.4927722,2048,2041,-7,2.259,442.674
hold,52,118.712,,,,,,0.5016767,2047,2048,1,2.231,448.229
hold,53,120.975,,,,,,0.4911265,2048,2034,-14,2.263,441.891
hold,54,123.206,,,,,,0.5013522,2044,2048,4,2.231,448.229
hold,55,125.465,,,,,,0.4917299,2048,2038,-10,2.259,442.674
hold,56,127.698,,,,,,0.5021068,2046,2048,2,2.233,447.828
hold,57,129.955,,,,,,0.4922141,2048,2041,-7,2.257,443.066
hold,58,132.188,,,,,,0.5028261,2048,2048,0,2.233,447.828
hold,59,134.443,,,,,,0.4927071,2048,2044,-4,2.255,443.459
hold,60,136.678,,,,,,0.5035087,2051,2048,-3,2.235,447.427
hold,61,138.932,,,,,,0.4932045,2048,2047,-1,2.254,443.656
hold,62,141.164,,,,,,0.5030681,2048,2048,0,2.232,448.029
hold,63,143.423,,,,,,0.4914669,2048,2040,-8,2.259,442.674
hold,64,145.651,,,,,,0.5015229,2041,2048,7,2.228,448.833
hold,65,147.913,,,,,,0.4898937,2048,2034,-14,2.262,442.087
hold,66,150.141,,,,,,0.5011182,2038,2048,10,2.228,448.833
hold,67,152.400,,,,,,0.4905582,2048,2037,-11,2.259,442.674
hold,68,154.629,,,,,,0.5017910,2041,2048,7,2.229,448.632
hold,69,156.887,,,,,,0.4911180,2048,2040,-8,2.258,442.870
hold,70,159.118,,,,,,0.5024521,2044,2048,4,2.231,448.229
hold,71,161.373,,,,,,0.4916784,2048,2043,-5,2.255,443.459
hold,72,163.606,,,,,,0.5031068,2046,2048,2,2.233,447.828
hold,73,165.860,,,,,,0.4922199,2048,2045,-3,2.254,443.656
hold,74,168.093,,,,,,0.5037376,2049,2048,-1,2.233,447.828
hold,75,170.346,,,,,,0.4927659,2048,2048,0,2.253,443.853
hold,76,172.581,,,,,,0.5043714,2051,2048,-3,2.235,447.427
hold,77,174.831,,,,,,0.4932861,2048,2051,3,2.250,444.444
hold,78,177.064,,,,,,0.5038518,2049,2048,-1,2.233,447.828
hold,79,179.320,,,,,,0.4915967,2048,2044,-4,2.256,443.262
hold,80,181.548,,,,,,0.5022589,2042,2048,6,2.228,448.833
hold,81,183.809,,,,,,0.4900472,2048,2037,-11,2.261,442.282
hold,82,186.036,,,,,,0.5018018,2039,2048,9,2.227,449.035
hold,83,188.294,,,,,,0.4907450,2048,2040,-8,2.258,442.870
hold,84,190.523,,,,,,0.5024385,2042,2048,6,2.229,448.632
hold,85,192.779,,,,,,0.4913250,2048,2043,-5,2.256,443.262
hold,86,195.010,,,,,,0.5030552,2045,2048,3,2.231,448.229
hold,87,197.264,,,,,,0.4918981,2048,2045,-3,2.254,443.656
hold,88,199.497,,,,,,0.5036676,2047,2048,1,2.233,447.828
